field	type
textual_file_header	3200s
job	i
line	i
reel	i
data_trace_per_ensemble	H
auxiliary_trace_per_ensemble	H
dt	H
dt_orig	H
ns	H
ns_orig	H
data_sample_format	H
ensemble_fold	H
trace_sorting	h
vertical_sum_code	H
sweep_frequency_start	H
sweep_frequency_end	H
sweep_length	H
sweep_type	h
sweep_channel	h
sweep_taper_length_start	H
sweep_taper_length_end	H
taper_type	H
correlated_data_traces	H
binary_gain	H
amplitude_recovery_method	H
measurement_system	H
impulse_signal_polarity	H
vibratory_polarity_code	H
unassigned1	240s
segy_format_revision_number	H
fixed_length_trace_flag	H
number_of_textual_headers	H
unassigned2	94s
